id,Timestamp,Category,Money,Description,Details
807414410,2022-08-13T16:59:57.214302+00:00,fees,-2716,Market fees selling Electronics research,"{""remaining_fees"": ""$9169""}"
807414409,2022-08-13T16:59:57.212461+00:00,market,2716,Electronics research market order partially filled,"{""resource"": ""Electronics research"", ""amount"": 7, ""quality"": 0, ""price"": ""$388.00"", ""buyer"": ""Gentleman Company Poland"", ""profit"": ""$-1954"", ""fees"": ""$2716"", ""remaining_fees"": ""$9169""}"
807414062,2022-08-13T16:59:34.192120+00:00,executive salaries,-60003,Severance package for former executive Nicole Peirsol,{}
807412272,2022-08-13T16:57:30.728742+00:00,contract,-7800,Ginger beer contract from BUDWEISER BEER,"{""quantity"": 104, ""quality"": 9, ""price"": ""$75.000""}"
807412250,2022-08-13T16:57:28.951643+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807412241,2022-08-13T16:57:27.908910+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807412225,2022-08-13T16:57:26.923405+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807412211,2022-08-13T16:57:25.864218+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807411887,2022-08-13T16:57:02.901462+00:00,production,-61617,Production of Electronics research,"{""amount"": 237, ""price"": ""$259.99"", ""quality"": 0}"
807411779,2022-08-13T16:56:55.824580+00:00,production,-30679,Production of Electronics research,"{""amount"": 118, ""price"": ""$259.99"", ""quality"": 0}"
806746659,2022-08-13T04:02:38.281164+00:00,executive salaries,-20001,Executive salaries,{}
806535482,2022-08-13T00:12:37.377257+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
806381995,2022-08-13T00:05:55.551479+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
806381984,2022-08-13T00:05:55.521767+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
806381968,2022-08-13T00:05:55.474303+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
806381588,2022-08-13T00:05:54.210301+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
806379665,2022-08-13T00:05:48.201418+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
806379657,2022-08-13T00:05:48.187438+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
806379606,2022-08-13T00:05:48.086352+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
806379405,2022-08-13T00:05:47.642274+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
806379400,2022-08-13T00:05:47.626520+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
806379392,2022-08-13T00:05:47.609654+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
806379374,2022-08-13T00:05:47.563586+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
806370425,2022-08-13T00:05:22.068102+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
806370394,2022-08-13T00:05:22.003375+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
806362758,2022-08-13T00:04:59.272458+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
806360918,2022-08-13T00:04:55.092656+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
806360913,2022-08-13T00:04:55.076217+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""KAKAMIMI""}"
806358837,2022-08-13T00:04:49.215501+00:00,interest,-2575,Bond interest payment,"{""bond value"": ""$515000"", ""interest"": ""0.5%"", ""owner"": ""Husar Sky and Space""}"
806338708,2022-08-13T00:03:51.472734+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Fazenda Jardim""}"
806337474,2022-08-13T00:03:48.161057+00:00,interest,-500,Bond interest payment,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""owner"": ""Hexko""}"
806336291,2022-08-13T00:03:44.934853+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""AdiShop SARL.""}"
806334508,2022-08-13T00:03:40.102486+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Heux Inc""}"
806334494,2022-08-13T00:03:40.066476+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Dagny Enterprises""}"
806333699,2022-08-13T00:03:37.534711+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
805546180,2022-08-12T10:42:01.507513+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805546104,2022-08-12T10:41:57.194409+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805545996,2022-08-12T10:41:51.374904+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805542355,2022-08-12T10:37:14.899835+00:00,fees,-10719,Market fees selling Electronics research,{}
805542354,2022-08-12T10:37:14.897387+00:00,market,357280,Electronics research market order filled,"{""resource"": ""Electronics research"", ""amount"": 880, ""quality"": 0, ""price"": ""$406.00"", ""buyer"": ""Commodore"", ""profit"": 100848}"
805533879,2022-08-12T10:27:39.630818+00:00,production,-280,Production of Electronics research,"{""amount"": 1, ""price"": ""$280.00"", ""quality"": 0}"
805533841,2022-08-12T10:27:37.652978+00:00,production,-31551,Production of Electronics research,"{""amount"": 113, ""price"": ""$279.21"", ""quality"": 0}"
805533762,2022-08-12T10:27:33.358727+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805533733,2022-08-12T10:27:31.495878+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805533706,2022-08-12T10:27:29.767963+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805533670,2022-08-12T10:27:27.986309+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805533640,2022-08-12T10:27:26.141877+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805533623,2022-08-12T10:27:24.234006+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805218168,2022-08-12T04:03:40.999453+00:00,executive salaries,-20001,Executive salaries,{}
805010488,2022-08-12T00:12:33.733478+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
804850999,2022-08-12T00:05:40.461964+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
804850982,2022-08-12T00:05:40.424088+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
804850965,2022-08-12T00:05:40.389264+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
804850585,2022-08-12T00:05:39.074113+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
804849074,2022-08-12T00:05:34.054505+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
804849065,2022-08-12T00:05:34.033802+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
804848999,2022-08-12T00:05:33.889880+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
804848794,2022-08-12T00:05:33.337063+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
804848787,2022-08-12T00:05:33.317519+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
804848782,2022-08-12T00:05:33.298604+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
804848759,2022-08-12T00:05:33.240390+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
804838516,2022-08-12T00:05:04.280579+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
804838495,2022-08-12T00:05:04.187044+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
804829222,2022-08-12T00:04:40.013737+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
804827361,2022-08-12T00:04:35.413988+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
804827354,2022-08-12T00:04:35.397816+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""KAKAMIMI""}"
804825291,2022-08-12T00:04:29.972117+00:00,interest,-2575,Bond interest payment,"{""bond value"": ""$515000"", ""interest"": ""0.5%"", ""owner"": ""Husar Sky and Space""}"
804807306,2022-08-12T00:03:43.873744+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Fazenda Jardim""}"
804806662,2022-08-12T00:03:41.883000+00:00,interest,-500,Bond interest payment,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""owner"": ""Hexko""}"
804805904,2022-08-12T00:03:40.036157+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""AdiShop SARL.""}"
804804098,2022-08-12T00:03:35.398943+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Heux Inc""}"
804804089,2022-08-12T00:03:35.364677+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Dagny Enterprises""}"
804803763,2022-08-12T00:03:34.341259+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
803673488,2022-08-11T04:02:06.613947+00:00,executive salaries,-20001,Executive salaries,{}
803441297,2022-08-11T00:12:30.180948+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
803291147,2022-08-11T00:05:34.625085+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
803291135,2022-08-11T00:05:34.590822+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
803291121,2022-08-11T00:05:34.557267+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
803290676,2022-08-11T00:05:33.329612+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
803289034,2022-08-11T00:05:28.193514+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
803289029,2022-08-11T00:05:28.174478+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
803288995,2022-08-11T00:05:28.047903+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
803288862,2022-08-11T00:05:27.587447+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
803288858,2022-08-11T00:05:27.572652+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
803288851,2022-08-11T00:05:27.557748+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
803288835,2022-08-11T00:05:27.513336+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
803279544,2022-08-11T00:04:59.557590+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
803279520,2022-08-11T00:04:59.495516+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
803271939,2022-08-11T00:04:36.964920+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
803269847,2022-08-11T00:04:31.727727+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
803269842,2022-08-11T00:04:31.712455+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""KAKAMIMI""}"
803267991,2022-08-11T00:04:26.537888+00:00,interest,-2575,Bond interest payment,"{""bond value"": ""$515000"", ""interest"": ""0.5%"", ""owner"": ""Husar Sky and Space""}"
803250741,2022-08-11T00:03:38.892972+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Fazenda Jardim""}"
803249841,2022-08-11T00:03:36.660795+00:00,interest,-500,Bond interest payment,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""owner"": ""Hexko""}"
803249154,2022-08-11T00:03:34.901017+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""AdiShop SARL.""}"
803247274,2022-08-11T00:03:29.750348+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Heux Inc""}"
803247261,2022-08-11T00:03:29.717184+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Dagny Enterprises""}"
803246867,2022-08-11T00:03:28.614647+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
802574548,2022-08-10T13:00:10.093221+00:00,fees,-1240,Market fees selling Electronics research,{}
802574547,2022-08-10T13:00:10.051185+00:00,market,300000,Electronics research market order filled,"{""resource"": ""Electronics research"", ""amount"": 750, ""quality"": 0, ""price"": ""$400.00"", ""buyer"": ""Mr.Collor"", ""profit"": 89346}"
802574529,2022-08-10T13:00:09.547127+00:00,fees,-1332,Market fees selling Energy research,{}
802574528,2022-08-10T13:00:09.545179+00:00,market,44384,Energy research market order filled,"{""resource"": ""Energy research"", ""amount"": 152, ""quality"": 0, ""price"": ""$292.00"", ""buyer"": ""Habsburgs Co."", ""profit"": 12186}"
802574210,2022-08-10T12:59:46.736813+00:00,fees,-8000,Market fees selling Electronics research,"{""remaining_fees"": ""$1240""}"
802574209,2022-08-10T12:59:46.732950+00:00,market,8000,Electronics research market order partially filled,"{""resource"": ""Electronics research"", ""amount"": 20, ""quality"": 0, ""price"": ""$400.00"", ""buyer"": ""Swi360 PGH S.A."", ""profit"": ""$-5584"", ""fees"": ""$8000"", ""remaining_fees"": ""$1240""}"
802573757,2022-08-10T12:59:10.807432+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
802573735,2022-08-10T12:59:09.066408+00:00,contract,-7280,Ginger beer contract from BUDWEISER BEER,"{""quantity"": 104, ""quality"": 9, ""price"": ""$70.000""}"
802565751,2022-08-10T12:50:20.435691+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
802565694,2022-08-10T12:50:19.072471+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
802565648,2022-08-10T12:50:17.471473+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
802565622,2022-08-10T12:50:15.775182+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
802565603,2022-08-10T12:50:13.779341+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
802565567,2022-08-10T12:50:12.001170+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
802565539,2022-08-10T12:50:10.236141+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
802565518,2022-08-10T12:50:08.674884+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
802565500,2022-08-10T12:50:07.104479+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
802565483,2022-08-10T12:50:05.431453+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
802565445,2022-08-10T12:50:03.372264+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
802111617,2022-08-10T04:02:06.296801+00:00,executive salaries,-20001,Executive salaries,{}
801980652,2022-08-10T01:11:20.465695+00:00,sales,82500,Restaurant revenue,"{""COGS"": ""$59234"", ""wages"": ""$18200"", ""occupancy"": ""100.00%"", ""rating"": ""9.44"", ""profit"": ""$5066""}"
801980620,2022-08-10T01:11:17.187628+00:00,sales,39505,Restaurant revenue,"{""COGS"": ""$52355"", ""wages"": ""$18200"", ""occupancy"": ""39.51%"", ""rating"": ""8.52"", ""profit"": ""$-31050""}"
801937893,2022-08-10T00:15:17.083474+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
801758877,2022-08-10T00:06:45.172132+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
801758869,2022-08-10T00:06:45.139349+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
801758858,2022-08-10T00:06:45.106127+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
801758322,2022-08-10T00:06:43.852345+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
801756300,2022-08-10T00:06:39.750720+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
801756294,2022-08-10T00:06:39.730663+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
801756218,2022-08-10T00:06:39.555059+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
801755983,2022-08-10T00:06:39.000338+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
801755979,2022-08-10T00:06:38.983715+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
801755973,2022-08-10T00:06:38.965552+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
801755960,2022-08-10T00:06:38.905921+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
801743079,2022-08-10T00:06:10.070596+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
801743050,2022-08-10T00:06:10.003412+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
801731743,2022-08-10T00:05:39.167723+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
801729498,2022-08-10T00:05:33.202492+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
801729492,2022-08-10T00:05:33.184372+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""KAKAMIMI""}"
801725119,2022-08-10T00:05:21.497940+00:00,interest,-2575,Bond interest payment,"{""bond value"": ""$515000"", ""interest"": ""0.5%"", ""owner"": ""Husar Sky and Space""}"
801702485,2022-08-10T00:04:25.607946+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Fazenda Jardim""}"
801701562,2022-08-10T00:04:23.008447+00:00,interest,-500,Bond interest payment,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""owner"": ""Hexko""}"
801700607,2022-08-10T00:04:20.676395+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""AdiShop SARL.""}"
801697998,2022-08-10T00:04:14.148456+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Heux Inc""}"
801697978,2022-08-10T00:04:14.106394+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Dagny Enterprises""}"
801697512,2022-08-10T00:04:12.850459+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
801006204,2022-08-09T13:02:15.372677+00:00,sales,-18200,Restaurant wages,{}
801006199,2022-08-09T13:02:15.234389+00:00,sales,40441,Restaurant revenue,"{""COGS"": ""$61856"", ""wages"": ""$18200"", ""occupancy"": ""40.44%"", ""rating"": ""8.15"", ""profit"": ""$-39615""}"
801006131,2022-08-09T13:02:11.124166+00:00,sales,-18200,Restaurant wages,{}
801006126,2022-08-09T13:02:10.827452+00:00,sales,72125,Restaurant revenue,"{""COGS"": ""$62112"", ""wages"": ""$18200"", ""occupancy"": ""87.43%"", ""rating"": ""9.20"", ""profit"": ""$-8187""}"
800663780,2022-08-09T06:22:36.270055+00:00,fees,-2411,Market fees selling Electronics research,{}
800663779,2022-08-09T06:22:36.263278+00:00,market,80340,Electronics research market order filled,"{""resource"": ""Electronics research"", ""amount"": 195, ""quality"": 0, ""price"": ""$412.00"", ""buyer"": ""AcMe Corruption"", ""profit"": 23481}"
800651673,2022-08-09T06:09:23.370290+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
800651655,2022-08-09T06:09:21.843430+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
800651583,2022-08-09T06:09:17.617080+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
800651518,2022-08-09T06:09:11.845293+00:00,production,-15357,Production of Electronics research,"{""amount"": 55, ""price"": ""$279.22"", ""quality"": 0}"
800535423,2022-08-09T04:02:13.006287+00:00,executive salaries,-20001,Executive salaries,{}
800406260,2022-08-09T01:12:08.604653+00:00,sales,-18200,Restaurant wages,{}
800406256,2022-08-09T01:12:08.493289+00:00,sales,27616,Restaurant revenue,"{""COGS"": ""$58911"", ""wages"": ""$18200"", ""occupancy"": ""27.62%"", ""rating"": ""7.62"", ""profit"": ""$-49495""}"
800405407,2022-08-09T01:10:52.738493+00:00,sales,-18200,Restaurant wages,{}
800405404,2022-08-09T01:10:52.553352+00:00,sales,45824,Restaurant revenue,"{""COGS"": ""$61308"", ""wages"": ""$18200"", ""occupancy"": ""55.55%"", ""rating"": ""9.00"", ""profit"": ""$-33684""}"
800338296,2022-08-09T00:18:32.532583+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
800188885,2022-08-09T00:08:42.596296+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
800188865,2022-08-09T00:08:42.548987+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
800188854,2022-08-09T00:08:42.515773+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
800188313,2022-08-09T00:08:41.238705+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
800186859,2022-08-09T00:08:37.738409+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
800186851,2022-08-09T00:08:37.724975+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
800186800,2022-08-09T00:08:37.611201+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
800186632,2022-08-09T00:08:37.155594+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
