id,Timestamp,Category,Money,Description,Details
771018396,2022-07-21T18:26:56.777018+00:00,production,-31218,Production of Electronics research,"{""amount"": 128, ""price"": ""$243.89"", ""quality"": 0}"
770225630,2022-07-21T04:02:38.912279+00:00,executive salaries,-20001,Executive salaries,{}
770173858,2022-07-21T03:11:23.200376+00:00,sales,41099,Restaurant revenue,"{""COGS"": ""$24046"", ""wages"": ""$18393"", ""occupancy"": ""53.03%"", ""rating"": ""8.39"", ""profit"": ""$-1340""}"
769876300,2022-07-21T00:06:01.032343+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
769876285,2022-07-21T00:06:01.002055+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
769876267,2022-07-21T00:06:00.973251+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
769875390,2022-07-21T00:05:59.320332+00:00,interest,127,Bond yield,"{""bond value"": ""$25000"", ""interest"": ""0.5%"", ""issuer"": ""BASIClNTERIORKING""}"
769875352,2022-07-21T00:05:59.256985+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
769873126,2022-07-21T00:05:55.323234+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
769873118,2022-07-21T00:05:55.307518+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
769873025,2022-07-21T00:05:55.120302+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
769872490,2022-07-21T00:05:54.052150+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
769872481,2022-07-21T00:05:54.038186+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
769872475,2022-07-21T00:05:54.024204+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
769872439,2022-07-21T00:05:53.958116+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
769852173,2022-07-21T00:05:08.921422+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
769852140,2022-07-21T00:05:08.865301+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
769841174,2022-07-21T00:04:45.933548+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
769838660,2022-07-21T00:04:40.825019+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
